year,gdp,gini
0,947610.99,
1,924027.86,0.49
2,936162.21,0.49
3,827450.82,0.57
4,936712.99,0.51
5,875192.56,0.52
6,904379.30,0.53
7,804472.67,0.58
8,826799.61,0.58
9,1000241.05,0.54
10,981671.55,0.58
11,1015271.05,0.53
12,1000947.76,0.53
13,1140402.10,0.51
14,1073194.81,0.52
15,1044928.38,0.53
16,1140952.85,0.52
17,990172.75,0.58
18,1054540.02,0.52
19,1168927.28,0.50
20,1052959.20,0.52
21,1054369.18,0.51
22,1162142.97,0.48
23,1105589.87,0.50
24,996398.30,0.56
25,1170382.14,0.50
26,1075304.91,0.52
27,1105065.32,0.51
28,1251422.81,0.50
29,1156754.77,0.51
30,1208001.84,0.50
31,1209511.32,0.54
32,1179068.37,0.50
33,1159025.53,0.49
34,1290591.54,0.47
35,1179937.93,0.50
36,1179316.13,0.50
37,1339725.80,0.48
38,1100935.91,0.56
39,1021612.56,0.51
40,1123221.97,0.50
41,991293.46,0.54
42,925294.86,0.60
43,1025123.14,0.57
44,1037641.72,0.51
45,958698.28,0.57
46,1083142.26,0.50
47,980532.26,0.53
48,977003.14,0.53
49,1051013.26,0.51
50,957766.62,0.53
51,999735.57,0.54
52,1017727.09,0.56
53,995011.16,0.52
54,985124.61,0.52
55,1096261.93,0.49
56,989474.00,0.51
57,867722.05,0.50
58,979314.67,0.47
59,852451.36,0.56
60,802325.09,0.51
61,981534.10,0.48
62,796049.14,0.59
63,904855.69,0.51
64,1020510.25,0.48
65,911959.36,0.51
66,868534.94,0.57
67,1098517.07,0.47
68,987956.89,0.50
69,965278.31,0.51
70,1140457.10,0.47
71,1033323.80,0.51
72,1036750.29,0.51
73,1126300.91,0.53
74,1097116.89,0.51
75,1158028.73,0.50
76,1345792.37,0.47
77,1231514.38,0.51
78,1127595.58,0.51
79,1284296.09,0.48
80,1027633.12,0.58
81,1113091.45,0.52
82,1140876.91,0.51
83,1113078.83,0.58
84,1092882.08,0.58
85,1346431.67,0.49
86,1226579.58,0.51
87,1092495.57,0.59
88,1373987.29,0.49
89,1207774.27,0.53
90,1210539.56,0.53
91,1337680.07,0.51
92,1157495.98,0.55
93,1156836.02,0.53
94,1197772.13,0.55
95,1131108.37,0.51
96,1125307.62,0.52
97,1264562.36,0.51
98,1125263.52,0.53
99,1109946.84,0.53
100,1205293.20,0.50
101,972000.46,0.54
102,989644.08,0.60
103,882950.35,0.64
104,1015955.20,0.55
105,1168436.60,0.51
106,1007133.96,0.53
107,906980.26,0.61
108,1045563.02,0.51
109,942731.97,0.54
110,946912.70,0.54
